iso2,year,cases,gender,age_group
AD,1996,0.0,m,0-14
AD,1996,0.0,m,15-24
AD,1996,0.0,m,25-34
AD,1996,4.0,m,35-44
AD,1996,1.0,m,45-54
AD,1996,0.0,m,55-64
AD,1996,0.0,m,65+
AD,1996,0.0,f,0-14
AD,1996,1.0,f,15-24
AD,1996,1.0,f,25-34
AD,1996,0.0,f,35-44
AD,1996,0.0,f,45-54
AD,1996,1.0,f,55-64
AD,1996,0.0,f,65+
AD,1997,0.0,m,0-14
AD,1997,0.0,m,15-24
AD,1997,1.0,m,25-34
AD,1997,2.0,m,35-44
AD,1997,2.0,m,45-54
AD,1997,1.0,m,55-64
AD,1997,6.0,m,65+
AD,1997,0.0,f,0-14
AD,1997,1.0,f,15-24
AD,1997,2.0,f,25-34
AD,1997,3.0,f,35-44
AD,1997,0.0,f,45-54
AD,1997,0.0,f,55-64
AD,1997,1.0,f,65+
AD,1998,0.0,m,0-14
AD,1998,0.0,m,15-24
AD,1998,0.0,m,25-34
AD,1998,1.0,m,35-44
AD,1998,0.0,m,45-54
AD,1998,0.0,m,55-64
AD,1998,0.0,m,65+
AD,1999,0.0,m,0-14
AD,1999,0.0,m,15-24
AD,1999,0.0,m,25-34
AD,1999,1.0,m,35-44
AD,1999,1.0,m,45-54
AD,1999,0.0,m,55-64
AD,1999,0.0,m,65+
AD,1999,0.0,f,0-14
AD,1999,0.0,f,15-24
AD,1999,0.0,f,25-34
AD,1999,1.0,f,35-44
AD,1999,0.0,f,45-54
AD,1999,0.0,f,55-64
AD,1999,0.0,f,65+
AD,2000,0.0,m,0-14
AD,2000,0.0,m,15-24
AD,2000,1.0,m,25-34
AD,2000,0.0,m,35-44
AD,2000,0.0,m,45-54
AD,2000,0.0,m,55-64
AD,2000,0.0,m,65+
AD,2001,0.0,m,0-14
AD,2001,2.0,m,35-44
AD,2001,1.0,m,45-54
AD,2002,0.0,m,0-14
AD,2002,0.0,m,15-24
AD,2002,0.0,m,25-34
AD,2002,1.0,m,35-44
AD,2002,0.0,m,45-54
AD,2002,0.0,m,55-64
AD,2002,0.0,m,65+
AD,2002,0.0,f,0-14
AD,2002,1.0,f,15-24
AD,2002,0.0,f,25-34
AD,2002,0.0,f,35-44
AD,2002,0.0,f,45-54
AD,2002,0.0,f,55-64
AD,2002,0.0,f,65+
AD,2003,0.0,m,0-14
AD,2003,0.0,m,15-24
AD,2003,0.0,m,25-34
AD,2003,1.0,m,35-44
AD,2003,2.0,m,45-54
AD,2003,0.0,m,55-64
AD,2003,0.0,m,65+
AD,2003,0.0,f,0-14
AD,2003,1.0,f,15-24
